marker;iteration;timestamp;sens.KITGripperFTSensor.tz;sens.TestBenchMotor.position;sens.TestBenchMotor.targetPWM;sens.TestBenchMotor.velocityTicksPerMs;sens.TestBenchMotor.rawVelocity;sens.TestBenchMotor.filteredVelocity;ctrl.TestBenchMotor.ControlMode_Velocity1DoF.velocity
;6360125;1560513621918586;0.002592;-0.452319;-24;0.000000;0.000000;0.000000;0.000000
;6360126;1560513621919587;0.002573;-0.452319;-24;0.000000;0.000000;0.000000;0.000000
;6360127;1560513621920584;0.002568;-0.452319;-24;0.000000;0.000000;0.000000;0.000000
;6360128;1560513621921593;0.002563;-0.452319;-24;0.000000;0.000000;0.000000;0.000000
;6360129;1560513621922586;0.002563;-0.452319;-24;0.000000;0.000000;0.000000;0.000000
;6360130;1560513621923596;0.002607;-0.452319;-24;0.000000;0.000000;0.000000;0.000000
;6360131;1560513621924591;0.002651;-0.452319;-23;0.000000;0.000000;0.000000;0.000200
;6360132;1560513621925609;0.002651;-0.452319;-23;0.000000;0.000000;0.000000;0.000200
;6360133;1560513621926587;0.002651;-0.452319;-23;0.000000;0.000000;0.000000;0.000400
;6360134;1560513621927588;0.002651;-0.452319;-23;0.000000;0.000000;0.000000;0.000600
;6360135;1560513621928595;0.002678;-0.452319;-23;0.000000;0.000000;0.000000;0.000600
;6360136;1560513621929567;0.002705;-0.452319;-22;0.000000;0.000000;0.000000;0.000800
;6360137;1560513621930547;0.002705;-0.452319;-22;0.000000;0.000000;0.000000;0.000800
;6360138;1560513621931542;0.002738;-0.452319;-22;0.000000;0.000000;0.000000;0.001000
;6360139;1560513621932600;0.002771;-0.452319;-22;0.000000;0.000000;0.000000;0.001200
;6360140;1560513621933554;0.002780;-0.452319;-22;0.000000;0.000000;0.000000;0.001200
;6360141;1560513621934544;0.002789;-0.452319;-21;0.000000;0.000000;0.000000;0.001400
;6360142;1560513621935553;0.002789;-0.452319;-21;0.000000;0.000000;0.000000;0.001400
;6360143;1560513621936545;0.002789;-0.452319;-21;0.000000;0.000000;0.000000;0.001600
