marker;iteration;timestamp;sens.KITGripperFTSensor.tz;sens.TestBenchMotor.position;sens.TestBenchMotor.targetPWM;sens.TestBenchMotor.velocityTicksPerMs;sens.TestBenchMotor.rawVelocity;sens.TestBenchMotor.filteredVelocity;ctrl.TestBenchMotor.ControlMode_Velocity1DoF.velocity
;360564;1560507622140949;0.001944;0.731349;0;0.000000;0.000000;0.000000;0.000000
;360565;1560507622141958;0.002145;0.731349;0;0.000000;0.000000;0.000000;0.000000
;360566;1560507622142963;0.002197;0.731349;0;0.000000;0.000000;0.000000;0.000000
;360567;1560507622143948;0.002250;0.731349;0;0.000000;0.000000;0.000000;0.000000
;360568;1560507622144948;0.002325;0.731349;0;0.000000;0.000000;0.000000;0.000000
;360569;1560507622145960;0.002325;0.731349;0;0.000000;0.000000;0.000000;0.000000
;360570;1560507622146957;0.002325;0.731349;0;0.000000;0.000000;0.000000;0.000200
;360571;1560507622147970;0.002325;0.731349;0;0.000000;0.000000;0.000000;0.000400
;360572;1560507622148957;0.002325;0.731349;0;0.000000;0.000000;0.000000;0.000400
;360573;1560507622149964;0.002254;0.731349;0;0.000000;0.000000;0.000000;0.000600
;360574;1560507622150955;0.002106;0.731349;0;0.000000;0.000000;0.000000;0.000800
;360575;1560507622151956;0.002056;0.731349;1;0.000000;0.000000;0.000000;0.001000
;360576;1560507622152957;0.002007;0.731349;1;0.000000;0.000000;0.000000;0.001200
;360577;1560507622153958;0.001998;0.731349;1;0.000000;0.000000;0.000000;0.001200
;360578;1560507622154953;0.001989;0.731349;1;0.000000;0.000000;0.000000;0.001400
;360579;1560507622155954;0.001985;0.731349;2;0.000000;0.000000;0.000000;0.001600
;360580;1560507622156960;0.001985;0.731349;2;0.000000;0.000000;0.000000;0.001800
;360581;1560507622157982;0.001985;0.731349;2;0.000000;0.000000;0.000000;0.001800
;360582;1560507622158952;0.001985;0.731349;3;0.000000;0.000000;0.000000;0.002000
;360583;1560507622159956;0.001989;0.731349;3;0.000000;0.000000;0.000000;0.002200
;360584;1560507622160959;0.002155;0.731349;3;0.000000;0.000000;0.000000;0.002400
;360585;1560507622161977;0.002320;0.731349;3;0.000000;0.000000;0.000000;0.002400
;360586;1560507622162989;0.002320;0.731349;4;0.000000;0.000000;0.000000;0.002600
;360587;1560507622163967;0.002320;0.731349;4;0.000000;0.000000;0.000000;0.002800
;360588;1560507622165032;0.002320;0.731349;4;0.000000;0.000000;0.000000;0.002800
;360589;1560507622165958;0.002320;0.731349;5;0.000000;0.000000;0.000000;0.003000
;360590;1560507622166963;0.002292;0.731349;5;0.000000;0.000000;0.000000;0.003200
;360591;1560507622168054;0.002264;0.731349;5;0.000000;0.000000;0.000000;0.003200
;360592;1560507622168961;0.002248;0.731349;5;0.000000;0.000000;0.000000;0.003400
;360593;1560507622169959;0.002233;0.731349;6;0.000000;0.000000;0.000000;0.003600
;360594;1560507622171005;0.002127;0.731349;6;0.000000;0.000000;0.000000;0.003800
;360595;1560507622171958;0.002029;0.731349;6;0.000000;0.000000;0.000000;0.003800
;360596;1560507622172953;0.002029;0.731349;7;0.000000;0.000000;0.000000;0.004000
;360597;1560507622173966;0.002026;0.731349;7;0.000000;0.000000;0.000000;0.004200
;360598;1560507622174960;0.002026;0.731349;7;0.000000;0.000000;0.000000;0.004200
;360599;1560507622175963;0.002026;0.731349;8;0.000000;0.000000;0.000000;0.004400
;360600;1560507622176956;0.002031;0.731349;8;0.000000;0.000000;0.000000;0.004600
;360601;1560507622177961;0.002035;0.731349;8;0.000000;0.000000;0.000000;0.004800
;360602;1560507622178982;0.002038;0.731349;8;0.000000;0.000000;0.000000;0.004800
;360603;1560507622179961;0.002179;0.731349;9;0.000000;0.000000;0.000000;0.005000
;360604;1560507622180966;0.002321;0.731349;9;0.000000;0.000000;0.000000;0.005200
;360605;1560507622182004;0.002331;0.731349;9;0.000000;0.000000;0.000000;0.005200
;360606;1560507622182962;0.002331;0.731349;10;0.000000;0.000000;0.000000;0.005400
;360607;1560507622183967;0.002331;0.731349;10;0.000000;0.000000;0.000000;0.005600
;360608;1560507622184967;0.002331;0.731349;10;0.000000;0.000000;0.000000;0.005600
;360609;1560507622185961;0.002331;0.731349;11;0.000000;0.000000;0.000000;0.005800
;360610;1560507622186961;0.002201;0.731349;11;0.000000;0.000000;0.000000;0.006000
;360611;1560507622187968;0.002060;0.731349;11;0.000000;0.000000;0.000000;0.006000
;360612;1560507622188958;0.002020;0.731349;12;0.000000;0.000000;0.000000;0.006200
;360613;1560507622189965;0.001980;0.731349;12;0.000000;0.000000;0.000000;0.006400
;360614;1560507622190958;0.001980;0.731349;13;0.000000;0.000000;0.000000;0.006600
;360615;1560507622192002;0.001980;0.731349;13;0.000000;0.000000;0.000000;0.006600
;360616;1560507622192962;0.001980;0.731349;13;0.000000;0.000000;0.000000;0.006800
;360617;1560507622193965;0.001980;0.731349;13;0.000000;0.000000;0.000000;0.007000
;360618;1560507622194967;0.002007;0.731349;14;0.000000;0.000000;0.000000;0.007000
;360619;1560507622195968;0.002034;0.731349;14;0.000000;0.000000;0.000000;0.007200
;360620;1560507622196958;0.002034;0.731349;15;0.000000;0.000000;0.000000;0.007400
;360621;1560507622197962;0.002119;0.731349;15;0.000000;0.000000;0.000000;0.007600
;360622;1560507622198957;0.002205;0.731349;15;0.000000;0.000000;0.000000;0.007600
;360623;1560507622199960;0.002291;0.731349;15;0.000000;0.000000;0.000000;0.007600
;360624;1560507622200960;0.002377;0.731349;16;0.000000;0.000000;0.000000;0.007800
;360625;1560507622202008;0.002377;0.731349;16;0.000000;0.000000;0.000000;0.008000
;360626;1560507622202970;0.002377;0.731349;17;0.000000;0.000000;0.000000;0.008200
;360627;1560507622203962;0.002377;0.731349;17;0.000000;0.000000;0.000000;0.008200
;360628;1560507622204954;0.002377;0.731349;17;0.000000;0.000000;0.000000;0.008400
;360629;1560507622205956;0.002273;0.731349;18;0.000000;0.000000;0.000000;0.008600
;360630;1560507622206958;0.002169;0.731349;18;0.000000;0.000000;0.000000;0.008600
;360631;1560507622207957;0.002134;0.731349;18;0.000000;0.000000;0.000000;0.008800
;360632;1560507622208957;0.002099;0.731349;19;0.000000;0.000000;0.000000;0.009000
;360633;1560507622209960;0.002099;0.731349;19;0.000000;0.000000;0.000000;0.009200
;360634;1560507622210957;0.002099;0.731349;19;0.000000;0.000000;0.000000;0.009200
;360635;1560507622212006;0.002099;0.731349;20;0.000000;0.000000;0.000000;0.009400
;360636;1560507622212974;0.002099;0.731349;20;0.000000;0.000000;0.000000;0.009600
;360637;1560507622213959;0.002099;0.731349;20;0.000000;0.000000;0.000000;0.009600
;360638;1560507622214974;0.002116;0.731349;21;-1.000000;0.000000;0.000000;0.009800
;360639;1560507622215955;0.002134;0.731345;21;1.000000;-0.003779;-0.000378;0.010000
;360640;1560507622216958;0.002209;0.731349;22;0.000000;0.003779;0.000000;0.010000
;360641;1560507622217968;0.002284;0.731349;22;0.000000;0.000000;0.000000;0.010200
;360642;1560507622218957;0.002315;0.731349;23;0.000000;0.000000;0.000000;0.010400
;360643;1560507622219959;0.002346;0.731349;23;0.000000;0.000000;0.000000;0.010600
;360644;1560507622220957;0.002346;0.731349;23;0.000000;0.000000;0.000000;0.010600
;360645;1560507622222003;0.002346;0.731349;24;0.000000;0.000000;0.000000;0.010800
;360646;1560507622222960;0.002346;0.731349;24;0.000000;0.000000;0.000000;0.011000
;360647;1560507622223957;0.002346;0.731349;25;0.000000;0.000000;0.000000;0.011200
;360648;1560507622225008;0.002346;0.731349;25;0.000000;0.000000;0.000000;0.011200
;360649;1560507622225965;0.002156;0.731349;25;0.000000;0.000000;0.000378;0.011400
;360650;1560507622226958;0.001966;0.731349;26;0.000000;0.000000;0.000000;0.011600
;360651;1560507622227961;0.001940;0.731349;26;0.000000;0.000000;0.000000;0.011600
;360652;1560507622228961;0.001914;0.731349;27;0.000000;0.000000;0.000000;0.011800
;360653;1560507622229966;0.001914;0.731349;27;0.000000;0.000000;0.000000;0.012000
;360654;1560507622230960;0.001914;0.731349;28;0.000000;0.000000;0.000000;0.012200
;360655;1560507622232011;0.001940;0.731349;28;0.000000;0.000000;0.000000;0.012200
;360656;1560507622232962;0.001966;0.731349;28;0.000000;0.000000;0.000000;0.012400
;360657;1560507622233962;0.002017;0.731349;29;0.000000;0.000000;0.000000;0.012600
;360658;1560507622234961;0.002068;0.731349;29;0.000000;0.000000;0.000000;0.012800
;360659;1560507622235962;0.002068;0.731349;30;0.000000;0.000000;0.000000;0.012800
;360660;1560507622236964;0.002197;0.731349;30;0.000000;0.000000;0.000000;0.013000
;360661;1560507622237959;0.002326;0.731349;31;0.000000;0.000000;0.000000;0.013200
;360662;1560507622238964;0.002332;0.731349;31;0.000000;0.000000;0.000000;0.013200
;360663;1560507622239957;0.002338;0.731349;31;0.000000;0.000000;0.000000;0.013400
;360664;1560507622240958;0.002338;0.731349;32;0.000000;0.000000;0.000000;0.013600
;360665;1560507622242018;0.002338;0.731349;32;0.000000;0.000000;0.000000;0.013600
;360666;1560507622242965;0.002338;0.731349;33;0.000000;0.000000;0.000000;0.013800
;360667;1560507622243959;0.002338;0.731349;33;0.000000;0.000000;0.000000;0.014000
;360668;1560507622244962;0.002197;0.731349;34;0.000000;0.000000;0.000000;0.014200
;360669;1560507622245962;0.002056;0.731349;34;0.000000;0.000000;0.000000;0.014200
;360670;1560507622246965;0.002056;0.731349;35;0.000000;0.000000;0.000000;0.014400
;360671;1560507622247966;0.002056;0.731349;35;0.000000;0.000000;0.000000;0.014600
;360672;1560507622248970;0.002056;0.731349;35;0.000000;0.000000;0.000000;0.014600
;360673;1560507622249961;0.002056;0.731349;36;0.000000;0.000000;0.000000;0.014800
;360674;1560507622250959;0.002056;0.731349;36;0.000000;0.000000;0.000000;0.015000
;360675;1560507622252017;0.002076;0.731349;37;0.000000;0.000000;0.000000;0.015000
;360676;1560507622252987;0.002095;0.731349;37;0.000000;0.000000;0.000000;0.015200
;360677;1560507622253966;0.002134;0.731349;38;0.000000;0.000000;0.000000;0.015400
;360678;1560507622254967;0.002174;0.731349;38;0.000000;0.000000;0.000000;0.015400
;360679;1560507622255966;0.002230;0.731349;39;0.000000;0.000000;0.000000;0.015600
;360680;1560507622256965;0.002286;0.731349;39;0.000000;0.000000;0.000000;0.015800
;360681;1560507622257965;0.002287;0.731349;40;0.000000;0.000000;0.000000;0.016000
;360682;1560507622258977;0.002287;0.731349;40;0.000000;0.000000;0.000000;0.016000
;360683;1560507622259969;0.002286;0.731349;41;0.000000;0.000000;0.000000;0.016200
;360684;1560507622260965;0.002230;0.731349;41;0.000000;0.000000;0.000000;0.016400
;360685;1560507622262010;0.002230;0.731349;41;0.000000;0.000000;0.000000;0.016400
;360686;1560507622262977;0.002225;0.731349;42;0.000000;0.000000;0.000000;0.016600
;360687;1560507622263969;0.002163;0.731349;43;0.000000;0.000000;0.000000;0.016800
;360688;1560507622264971;0.002055;0.731349;43;0.000000;0.000000;0.000000;0.016800
;360689;1560507622265966;0.001946;0.731349;44;0.000000;0.000000;0.000000;0.017000
;360690;1560507622266965;0.001946;0.731349;44;0.000000;0.000000;0.000000;0.017200
;360691;1560507622267964;0.001946;0.731349;44;0.000000;0.000000;0.000000;0.017200
;360692;1560507622268966;0.001946;0.731349;45;0.000000;0.000000;0.000000;0.017400
;360693;1560507622269973;0.001946;0.731349;45;0.000000;0.000000;0.000000;0.017400
;360694;1560507622270970;0.002024;0.731349;46;0.000000;0.000000;0.000000;0.017600
;360695;1560507622272007;0.002101;0.731349;46;0.000000;0.000000;0.000000;0.017800
;360696;1560507622272978;0.002120;0.731349;47;0.000000;0.000000;0.000000;0.017800
;360697;1560507622273963;0.002139;0.731349;47;0.000000;0.000000;0.000000;0.018000
;360698;1560507622274965;0.002139;0.731349;48;0.000000;0.000000;0.000000;0.018200
;360699;1560507622275961;0.002139;0.731349;49;0.000000;0.000000;0.000000;0.018400
;360700;1560507622276957;0.002139;0.731349;49;0.000000;0.000000;0.000000;0.018400
;360701;1560507622277965;0.002216;0.731349;49;0.000000;0.000000;0.000000;0.018600
;360702;1560507622278967;0.002293;0.731349;50;0.000000;0.000000;0.000000;0.018800
;360703;1560507622279978;0.002293;0.731349;50;0.000000;0.000000;0.000000;0.018800
;360704;1560507622280963;0.002293;0.731349;51;0.000000;0.000000;0.000000;0.019000
;360705;1560507622281991;0.002186;0.731349;52;0.000000;0.000000;0.000000;0.019200
;360706;1560507622282966;0.002079;0.731349;52;0.000000;0.000000;0.000000;0.019400
;360707;1560507622283961;0.002047;0.731349;53;0.000000;0.000000;0.000000;0.019400
;360708;1560507622284962;0.002015;0.731349;53;0.000000;0.000000;0.000000;0.019600
;360709;1560507622285965;0.002015;0.731349;54;0.000000;0.000000;0.000000;0.019800
;360710;1560507622286965;0.002015;0.731349;54;0.000000;0.000000;0.000000;0.020000
;360711;1560507622287964;0.002015;0.731349;55;0.000000;0.000000;0.000000;0.020000
;360712;1560507622288964;0.002015;0.731349;55;0.000000;0.000000;0.000000;0.020200
;360713;1560507622289967;0.002015;0.731349;56;0.000000;0.000000;0.000000;0.020400
;360714;1560507622290965;0.002107;0.731349;56;0.000000;0.000000;0.000000;0.020400
;360715;1560507622292003;0.002198;0.731349;57;0.000000;0.000000;0.000000;0.020600
;360716;1560507622292965;0.002198;0.731349;58;0.000000;0.000000;0.000000;0.020800
;360717;1560507622293963;0.002198;0.731349;58;0.000000;0.000000;0.000000;0.021000
;360718;1560507622294960;0.002199;0.731349;59;0.000000;0.000000;0.000000;0.021000
;360719;1560507622295992;0.002200;0.731349;59;0.000000;0.000000;0.000000;0.021200
;360720;1560507622296967;0.002200;0.731349;60;0.000000;0.000000;0.000000;0.021400
;360721;1560507622297965;0.002199;0.731349;61;0.000000;0.000000;0.000000;0.021600
;360722;1560507622298963;0.002198;0.731349;61;1.000000;0.000000;0.000000;0.021600
;360723;1560507622299962;0.002189;0.731353;62;0.000000;0.003779;0.000378;0.021800
;360724;1560507622300965;0.002181;0.731353;62;1.000000;0.000000;0.000378;0.022000
;360725;1560507622301968;0.002058;0.731356;62;0.000000;0.003779;0.000756;0.022000
;360726;1560507622302966;0.001936;0.731356;63;1.000000;0.000000;0.000756;0.022200
;360727;1560507622303963;0.001914;0.731360;64;1.000000;0.003779;0.001134;0.022400
;360728;1560507622304958;0.001892;0.731364;64;1.000000;0.003779;0.001512;0.022600
;360729;1560507622305963;0.001892;0.731368;64;2.000000;0.003779;0.001889;0.022600
;360730;1560507622306966;0.001892;0.731376;65;1.000000;0.007558;0.002645;0.022800
;360731;1560507622307966;0.001892;0.731379;65;2.000000;0.003779;0.003023;0.023000
;360732;1560507622308964;0.001892;0.731387;65;1.000000;0.007558;0.003779;0.023000
;360733;1560507622309970;0.001978;0.731391;66;3.000000;0.003779;0.003779;0.023200
;360734;1560507622310964;0.002064;0.731402;66;2.000000;0.011336;0.004912;0.023200
;360735;1560507622311972;0.002064;0.731410;66;3.000000;0.007558;0.005290;0.023400
;360736;1560507622312973;0.002064;0.731421;66;2.000000;0.011336;0.006424;0.023600
;360737;1560507622313969;0.002064;0.731429;66;3.000000;0.007558;0.006802;0.023800
;360738;1560507622314965;0.002064;0.731440;66;2.000000;0.011336;0.007558;0.023800
