Timestamp,RobotUnitObserver.SensorDevices.TestBenchMotor_targetPWM,RobotUnitObserver.SensorDevices.TestBenchMotor_rawVelocity,RobotUnitObserver.SensorDevices.KITGripperFTSensor_torque.value.x,RobotUnitObserver.SensorDevices.KITGripperFTSensor_torque.value.y,RobotUnitObserver.SensorDevices.KITGripperFTSensor_torque.value.z,RobotUnitObserver.ControlDevices.TestBenchMotor_velocity,RobotUnitObserver.ControlDevices.TestBenchMotor_ControlMode_Velocity1DoF_filteredVelocity
0.814,-56,0,0.165212661027908,0.161623775959015,0.0161760821938515,0,1.27009839171777e-23
1.106,-56,0,0.165212661027908,0.161623775959015,0.0161760821938515,0,1.27009839171777e-23
2.178,-56,0,0.165212661027908,0.161623775959015,0.0161760821938515,0,1.27009839171777e-23
3.29,-56,0,0.165212661027908,0.161623775959015,0.0161760821938515,0,1.27009839171777e-23
4.257,-56,0,0.165212661027908,0.161623775959015,0.0161760821938515,0,4.42855918665373e-24
6.139,-56,0,0.165212661027908,0.161623775959015,0.0161760821938515,0,4.42855918665373e-24
7.125,-56,0,0.165212661027908,0.161623775959015,0.0161760821938515,0,4.42855918665373e-24
48.028,-56,0,0.165003284811974,0.161745518445969,0.0162653177976608,0,6.54580106020307e-26
57.928,-56,0,0.165003284811974,0.161745518445969,0.0162653177976608,0,2.28237966508752e-26
103.68,-56,0,0.165003284811974,0.161745518445969,0.0162653177976608,0,2.28237966508752e-26
105.19,-56,0,0.165003284811974,0.161745518445969,0.0162653177976608,0,1.05865836645274e-28
106.232,-56,0,0.165003284811974,0.161745518445969,0.0162653177976608,0,1.05865836645274e-28
107.273,-56,0,0.165003284811974,0.161745518445969,0.0162653177976608,0,1.05865836645274e-28
107.542,-56,0,0.165003284811974,0.161745518445969,0.0162653177976608,0,1.05865836645274e-28
108.584,-56,0,0.165003284811974,0.161745518445969,0.0162653177976608,0,1.05865836645274e-28
109.684,-56,0,0.165003284811974,0.161745518445969,0.0162653177976608,0,1.05865836645274e-28
110.755,-56,0,0.165003284811974,0.161745518445969,0.0162653177976608,0,1.05865836645274e-28
111.865,-56,0,0.165003284811974,0.161745518445969,0.0162653177976608,0,1.05865836645274e-28
112.887,-56,0,0.165003284811974,0.161745518445969,0.0162653177976608,0,1.05865836645274e-28
113.912,-56,0,0.165003284811974,0.161745518445969,0.0162653177976608,0,1.05865836645274e-28
115.313,-56,0,0.165003284811974,0.161745518445969,0.0162653177976608,0,3.69131341701907e-29
116.099,-56,0,0.165003284811974,0.161745518445969,0.0162653177976608,0,3.69131341701907e-29
117.106,-56,0,0.165003284811974,0.161745518445969,0.0162653177976608,0,3.69131341701907e-29
118.175,-56,0,0.165003284811974,0.161745518445969,0.0162653177976608,0,3.69131341701907e-29
171.583,-56,0,0.166188850998878,0.161965727806091,0.0159255508333445,0,1.90241979961773e-31
171.942,-56,0,0.166188850998878,0.161965727806091,0.0159255508333445,0,1.90241979961773e-31
173.093,-56,0,0.166188850998878,0.161965727806091,0.0159255508333445,0,1.90241979961773e-31
174.119,-56,0,0.166188850998878,0.161965727806091,0.0159255508333445,0,1.90241979961773e-31
175.197,-56,0,0.166188850998878,0.161965727806091,0.0159255508333445,0,1.90241979961773e-31
176.186,-56,0,0.166188850998878,0.161965727806091,0.0159255508333445,0,1.90241979961773e-31
177.199,-56,0,0.166188850998878,0.161965727806091,0.0159255508333445,0,5.3729953152313e-32
178.336,-56,0,0.166188850998878,0.161965727806091,0.0159255508333445,0,5.3729953152313e-32
179.324,-56,0,0.166188850998878,0.161965727806091,0.0159255508333445,0,5.3729953152313e-32
180.383,-56,0,0.166188850998878,0.161965727806091,0.0159255508333445,0,5.3729953152313e-32
182.332,-56,0,0.166188850998878,0.161965727806091,0.0159255508333445,0,5.3729953152313e-32
182.609,-56,0,0.166188850998878,0.161965727806091,0.0159255508333445,0,5.3729953152313e-32
183.689,-56,0,0.166188850998878,0.161965727806091,0.0159255508333445,0,5.3729953152313e-32
236.507,-56,0,0.165434598922729,0.161650449037552,0.0162245016545057,0,1.07281410885313e-34
236.859,-56,0,0.165434598922729,0.161650449037552,0.0162245016545057,0,1.07281410885313e-34
237.919,-56,0,0.165434598922729,0.161650449037552,0.0162245016545057,0,1.07281410885313e-34
238.992,-56,0,0.165434598922729,0.161650449037552,0.0162245016545057,0,1.07281410885313e-34
240.05,-56,0,0.165434598922729,0.161650449037552,0.0162245016545057,0,1.07281410885313e-34
241.064,-56,0,0.165434598922729,0.161650449037552,0.0162245016545057,0,1.07281410885313e-34
242.119,-56,0,0.165434598922729,0.161650449037552,0.0162245016545057,0,1.07281410885313e-34
243.256,-56,0,0.165434598922729,0.161650449037552,0.0162245016545057,0,1.07281410885313e-34
244.257,-56,0,0.165434598922729,0.161650449037552,0.0162245016545057,0,1.07281410885313e-34
246.158,-56,0,0.165434598922729,0.161650449037552,0.0162245016545057,0,1.07281410885313e-34
247.226,-56,0,0.165434598922729,0.161650449037552,0.0162245016545057,0,3.7406714379881e-35
247.482,-56,0,0.165434598922729,0.161650449037552,0.0162245016545057,0,3.7406714379881e-35
248.547,-56,0,0.165434598922729,0.161650449037552,0.0162245016545057,0,3.7406714379881e-35
249.716,-56,0,0.165434598922729,0.161650449037552,0.0162245016545057,0,3.7406714379881e-35
250.704,-56,0,0.165434598922729,0.161650449037552,0.0162245016545057,0,3.7406714379881e-35
251.845,-56,0,0.165434598922729,0.161650449037552,0.0162245016545057,0,3.7406714379881e-35
303.683,-56,0,0.165434598922729,0.161650449037552,0.0162245016545057,0,1.92785781198713e-37
