Timestamp,RobotUnitObserver.SensorDevices.TestBenchMotor_targetPWM,RobotUnitObserver.SensorDevices.TestBenchMotor_rawVelocity,RobotUnitObserver.SensorDevices.KITGripperFTSensor_torque.value.x,RobotUnitObserver.SensorDevices.KITGripperFTSensor_torque.value.y,RobotUnitObserver.SensorDevices.KITGripperFTSensor_torque.value.z,RobotUnitObserver.ControlDevices.TestBenchMotor_ControlMode_Position1DoF_filteredVelocity,RobotUnitObserver.ControlDevices.TestBenchMotor_velocity
0.837,-54,0,0.302047669887543,0.199722990393639,0.0180188082158566,-5.32759658211933e-05,nan
1.086,-54,0,0.302047669887543,0.199722990393639,0.0180188082158566,-5.32759658211933e-05,nan
2.1,-54,0,0.302047669887543,0.199722990393639,0.0180188082158566,3.51654569590898e-05,nan
3.144,-54,0,0.302047669887543,0.199722990393639,0.0180188082158566,3.51654569590898e-05,nan
4.247,-54,0,0.302047669887543,0.199722990393639,0.0180188082158566,3.51654569590898e-05,nan
5.35,-54,0,0.302047669887543,0.199722990393639,0.0180188082158566,3.51654569590898e-05,nan
6.421,-54,0,0.302047669887543,0.199722990393639,0.0180188082158566,3.51654569590898e-05,nan
7.477,-54,0,0.302047669887543,0.199722990393639,0.0180188082158566,3.51654569590898e-05,nan
8.761,-54,0,0.302047669887543,0.199722990393639,0.0180188082158566,3.51654569590898e-05,nan
9.628,-54,0,0.302047669887543,0.199722990393639,0.0180188082158566,3.51654569590898e-05,nan
38.231,-54,0,0.300914704799652,0.199097603559494,0.0178470015525818,1.49070437772899e-06,nan
38.535,-54,0,0.300914704799652,0.199097603559494,0.0178470015525818,1.49070437772899e-06,nan
39.653,-54,0,0.300914704799652,0.199097603559494,0.0178470015525818,1.49070437772899e-06,nan
40.699,-54,0,0.300914704799652,0.199097603559494,0.0178470015525818,1.49070437772899e-06,nan
41.748,-54,0,0.300914704799652,0.199097603559494,0.0178470015525818,5.19776468470926e-07,nan
42.811,-54,0,0.300914704799652,0.199097603559494,0.0178470015525818,5.19776468470926e-07,nan
68.425,-54,0,0.300914704799652,0.199097603559494,0.0178470015525818,-3.9114460721498e-05,nan
68.829,-54,0,0.300914704799652,0.199097603559494,0.0178470015525818,-3.9114460721498e-05,nan
69.872,-54,0,0.300914704799652,0.199097603559494,0.0178470015525818,-3.9114460721498e-05,nan
70.872,-54,0,0.300914704799652,0.199097603559494,0.0178470015525818,-3.9114460721498e-05,nan
71.912,-54,0,0.300914704799652,0.199097603559494,0.0178470015525818,2.55392844796608e-05,nan
72.936,-54,0,0.300914704799652,0.199097603559494,0.0178470015525818,2.55392844796608e-05,nan
98.292,-54,0,0.300914704799652,0.199097603559494,0.0178470015525818,3.10498066485663e-06,nan
98.602,-54,0,0.300914704799652,0.199097603559494,0.0178470015525818,3.10498066485663e-06,nan
99.672,-54,0,0.300914704799652,0.199097603559494,0.0178470015525818,3.10498066485663e-06,nan
100.716,-54,0,0.300914704799652,0.199097603559494,0.0178470015525818,3.10498066485663e-06,nan
101.896,-54,0,0.300914704799652,0.199097603559494,0.0178470015525818,-3.80950136067393e-05,nan
102.873,-54,0,0.300914704799652,0.199097603559494,0.0178470015525818,-3.80950136067393e-05,nan
127.943,-54,0,0.301084786653519,0.199335217475891,0.0178637746721506,8.12604480920167e-06,nan
129.005,-54,0,0.301084786653519,0.199335217475891,0.0178637746721506,8.12604480920167e-06,nan
129.229,-54,0,0.301084786653519,0.199335217475891,0.0178637746721506,8.12604480920167e-06,nan
130.366,-54,0,0.301084786653519,0.199335217475891,0.0178637746721506,8.12604480920167e-06,nan
131.468,-54,0,0.301084786653519,0.199335217475891,0.0178637746721506,8.12604480920167e-06,nan
132.486,-54,0,0.301084786653519,0.199335217475891,0.0178637746721506,2.83337658134336e-06,nan
158.01,-54,0,0.301084786653519,0.199335217475891,0.0178637746721506,-2.50574756025962e-05,nan
158.362,-54,0,0.301084786653519,0.199335217475891,0.0178637746721506,-2.50574756025962e-05,nan
159.405,-54,0,0.301084786653519,0.199335217475891,0.0178637746721506,-2.50574756025962e-05,nan
160.485,-54,0,0.301084786653519,0.199335217475891,0.0178637746721506,-2.50574756025962e-05,nan
161.549,-54,0,0.301084786653519,0.199335217475891,0.0178637746721506,-2.50574756025962e-05,nan
162.555,-54,0,0.301084786653519,0.199335217475891,0.0178637746721506,3.96304721366122e-05,nan
163.761,-54,0,0.301084786653519,0.199335217475891,0.0178637746721506,3.96304721366122e-05,nan
191.599,-54,0,0.301084786653519,0.199335217475891,0.0178637746721506,-4.35493334352443e-05,nan
191.971,-54,0,0.301084786653519,0.199335217475891,0.0178637746721506,-4.35493334352443e-05,nan
192.913,-54,0,0.301084786653519,0.199335217475891,0.0178637746721506,3.31827600997272e-05,nan
194.017,-54,0,0.301084786653519,0.199335217475891,0.0178637746721506,3.31827600997272e-05,nan
195.04,-54,0,0.301084786653519,0.199335217475891,0.0178637746721506,3.31827600997272e-05,nan
196.859,-54,0,0.301084786653519,0.199335217475891,0.0178637746721506,3.31827600997272e-05,nan
198.07,-54,0,0.301084786653519,0.199335217475891,0.0178637746721506,3.31827600997272e-05,nan
223.571,-54,0,0.301105946302414,0.199639022350311,0.0179538689553738,1.40665556552672e-06,nan
223.897,-54,0,0.301105946302414,0.199639022350311,0.0179538689553738,1.40665556552672e-06,nan
224.908,-54,0,0.301105946302414,0.199639022350311,0.0179538689553738,1.40665556552672e-06,nan
226.04,-54,0,0.301105946302414,0.199639022350311,0.0179538689553738,1.40665556552672e-06,nan
