Timestamp,RobotUnitObserver.SensorDevices.KITGripperFTSensor_torque.value.x,RobotUnitObserver.SensorDevices.KITGripperFTSensor_torque.value.y,RobotUnitObserver.SensorDevices.KITGripperFTSensor_torque.value.z,RobotUnitObserver.SensorDevices.KITGripperFTSensor_force.value.x,RobotUnitObserver.SensorDevices.KITGripperFTSensor_force.value.y,RobotUnitObserver.SensorDevices.KITGripperFTSensor_force.value.z
32.528,0.333415687084198,0.156392127275467,1.27826011180878,6.81295680999756,8.82527160644531,-3.88011407852173
65.545,0.333415687084198,0.156392127275467,1.27826011180878,6.81295680999756,8.82527160644531,-3.88011407852173
98.621,0.34365513920784,0.146049201488495,1.27802801132202,6.86696338653564,8.85570526123047,-4.06049728393555
131.685,0.34365513920784,0.146049201488495,1.27802801132202,6.86696338653564,8.85570526123047,-4.06049728393555
167.016,0.34365513920784,0.146049201488495,1.27802801132202,6.86696338653564,8.85570526123047,-4.06049728393555
199.047,0.336254864931107,0.152872607111931,1.27550637722015,6.87927055358887,8.80032444000244,-3.94771814346313
231.63,0.336254864931107,0.152872607111931,1.27550637722015,6.87927055358887,8.80032444000244,-3.94771814346313
264.16,0.336254864931107,0.152872607111931,1.27550637722015,6.87927055358887,8.80032444000244,-3.94771814346313
297.095,0.320248961448669,0.168763503432274,1.27909028530121,6.79683399200439,8.7973575592041,-3.70833873748779
330.119,0.320248961448669,0.168763503432274,1.27909028530121,6.79683399200439,8.7973575592041,-3.70833873748779
363.248,0.320248961448669,0.168763503432274,1.27909028530121,6.79683399200439,8.7973575592041,-3.70833873748779
396.366,0.307662278413773,0.182017013430595,1.28033328056335,6.70383644104004,8.7735652923584,-3.50698518753052
429.365,0.307662278413773,0.182017013430595,1.28033328056335,6.70383644104004,8.7735652923584,-3.50698518753052
462.474,0.307662278413773,0.182017013430595,1.28033328056335,6.70383644104004,8.7735652923584,-3.50698518753052
495.567,0.306680887937546,0.183768674731255,1.28036248683929,6.64327335357666,8.79255867004395,-3.49232411384583
528.659,0.306680887937546,0.183768674731255,1.28036248683929,6.64327335357666,8.79255867004395,-3.49232411384583
561.719,0.306680887937546,0.183768674731255,1.28036248683929,6.64327335357666,8.79255867004395,-3.49232411384583
594.786,0.319320321083069,0.171046659350395,1.27884578704834,6.66587257385254,8.82381057739258,-3.69231843948364
627.878,0.319320321083069,0.171046659350395,1.27884578704834,6.66587257385254,8.82381057739258,-3.69231843948364
661.588,0.319320321083069,0.171046659350395,1.27884578704834,6.66587257385254,8.82381057739258,-3.69231843948364
694.066,0.335700303316116,0.154019415378571,1.27747917175293,6.8104248046875,8.84137535095215,-3.95351839065552
727.219,0.335700303316116,0.154019415378571,1.27747917175293,6.8104248046875,8.84137535095215,-3.95351839065552
760.251,0.335700303316116,0.154019415378571,1.27747917175293,6.8104248046875,8.84137535095215,-3.95351839065552
793.349,0.342787683010101,0.146748766303062,1.27939915657043,6.89862060546875,8.86027145385742,-4.06141376495361
826.414,0.342787683010101,0.146748766303062,1.27939915657043,6.89862060546875,8.86027145385742,-4.06141376495361
859.524,0.342787683010101,0.146748766303062,1.27939915657043,6.89862060546875,8.86027145385742,-4.06141376495361
892.725,0.333194315433502,0.155165806412697,1.2749330997467,6.8748607635498,8.78742122650146,-3.88516402244568
925.681,0.333194315433502,0.155165806412697,1.2749330997467,6.8748607635498,8.78742122650146,-3.88516402244568
958.765,0.333194315433502,0.155165806412697,1.2749330997467,6.8748607635498,8.78742122650146,-3.88516402244568
991.862,0.317504942417145,0.171361744403839,1.27806484699249,6.79682159423828,8.75969696044922,-3.66864109039307
1024.95,0.317504942417145,0.171361744403839,1.27806484699249,6.79682159423828,8.75969696044922,-3.66864109039307
1058.07,0.317504942417145,0.171361744403839,1.27806484699249,6.79682159423828,8.75969696044922,-3.66864109039307
1091.15,0.306119918823242,0.184118449687958,1.28263103961945,6.66602516174316,8.79744720458984,-3.49841928482056
1126.35,0.306119918823242,0.184118449687958,1.28263103961945,6.66602516174316,8.79744720458984,-3.49841928482056
1158.03,0.306119918823242,0.184118449687958,1.28263103961945,6.66602516174316,8.79744720458984,-3.49841928482056
1190.34,0.309006303548813,0.181483060121536,1.28036117553711,6.62610721588135,8.80093574523926,-3.5180287361145
1223.57,0.309006303548813,0.181483060121536,1.28036117553711,6.62610721588135,8.80093574523926,-3.5180287361145
