Timestamp,RobotUnitObserver.SensorDevices.KITGripperFTSensor_torque.value.x,RobotUnitObserver.SensorDevices.KITGripperFTSensor_torque.value.y,RobotUnitObserver.SensorDevices.KITGripperFTSensor_torque.value.z,RobotUnitObserver.SensorDevices.KITGripperFTSensor_force.value.x,RobotUnitObserver.SensorDevices.KITGripperFTSensor_force.value.y,RobotUnitObserver.SensorDevices.KITGripperFTSensor_force.value.z
11.258,0.347653895616531,0.13624332845211,-1.26253342628479,8.26239395141602,9.63294982910156,9.76991653442383
44.367,0.347653895616531,0.13624332845211,-1.26253342628479,8.26239395141602,9.63294982910156,9.76991653442383
77.391,0.347653895616531,0.13624332845211,-1.26253342628479,8.26239395141602,9.63294982910156,9.76991653442383
113.679,0.347640216350555,0.136812657117844,-1.26319062709808,8.27886581420898,9.61389350891113,9.76378917694092
146.091,0.347640216350555,0.136812657117844,-1.26319062709808,8.27886581420898,9.61389350891113,9.76378917694092
178.236,0.347640216350555,0.136812657117844,-1.26319062709808,8.27886581420898,9.61389350891113,9.76378917694092
210.994,0.347897499799728,0.134983211755753,-1.26384270191193,8.3118782043457,9.60842323303223,9.78047370910645
242.804,0.347897499799728,0.134983211755753,-1.26384270191193,8.3118782043457,9.60842323303223,9.78047370910645
275.868,0.347897499799728,0.134983211755753,-1.26384270191193,8.3118782043457,9.60842323303223,9.78047370910645
310.378,0.348465770483017,0.133135303854942,-1.26375162601471,8.30289840698242,9.61921882629395,9.80985164642334
342.754,0.348465770483017,0.133135303854942,-1.26375162601471,8.30289840698242,9.61921882629395,9.80985164642334
375.806,0.348465770483017,0.133135303854942,-1.26375162601471,8.30289840698242,9.61921882629395,9.80985164642334
408.999,0.348942756652832,0.132611140608788,-1.26350975036621,8.28035163879395,9.64461517333984,9.82009696960449
442.034,0.348942756652832,0.132611140608788,-1.26350975036621,8.28035163879395,9.64461517333984,9.82009696960449
475.097,0.348942756652832,0.132611140608788,-1.26350975036621,8.28035163879395,9.64461517333984,9.82009696960449
508.167,0.348405331373215,0.133751213550568,-1.2624499797821,8.26419162750244,9.64233779907227,9.80426597595215
541.25,0.348405331373215,0.133751213550568,-1.2624499797821,8.26419162750244,9.64233779907227,9.80426597595215
574.322,0.348405331373215,0.133751213550568,-1.2624499797821,8.26419162750244,9.64233779907227,9.80426597595215
607.403,0.347532153129578,0.137129813432693,-1.26315712928772,8.2435188293457,9.65067100524902,9.77233123779297
640.542,0.347532153129578,0.137129813432693,-1.26315712928772,8.2435188293457,9.65067100524902,9.77233123779297
673.569,0.347532153129578,0.137129813432693,-1.26315712928772,8.2435188293457,9.65067100524902,9.77233123779297
706.714,0.34708297252655,0.13854892551899,-1.26282262802124,8.26540184020996,9.62026500701904,9.7328929901123
739.744,0.34708297252655,0.13854892551899,-1.26282262802124,8.26540184020996,9.62026500701904,9.7328929901123
772.816,0.34708297252655,0.13854892551899,-1.26282262802124,8.26540184020996,9.62026500701904,9.7328929901123
805.915,0.347343325614929,0.137234747409821,-1.26350021362305,8.28302955627441,9.60909080505371,9.75303363800049
838.981,0.347343325614929,0.137234747409821,-1.26350021362305,8.28302955627441,9.60909080505371,9.75303363800049
872.079,0.347343325614929,0.137234747409821,-1.26350021362305,8.28302955627441,9.60909080505371,9.75303363800049
905.139,0.348290473222733,0.133789733052254,-1.26361846923828,8.30625915527344,9.61370468139648,9.77970600128174
938.217,0.348290473222733,0.133789733052254,-1.26361846923828,8.30625915527344,9.61370468139648,9.77970600128174
971.311,0.348290473222733,0.133789733052254,-1.26361846923828,8.30625915527344,9.61370468139648,9.77970600128174
1004.38,0.348870158195496,0.131771937012672,-1.26311695575714,8.30321884155273,9.62851333618164,9.81359481811523
1037.49,0.348870158195496,0.131771937012672,-1.26311695575714,8.30321884155273,9.62851333618164,9.81359481811523
1074.3,0.348870158195496,0.131771937012672,-1.26311695575714,8.30321884155273,9.62851333618164,9.81359481811523
1106.38,0.348439633846283,0.133227974176407,-1.26189887523651,8.26537704467773,9.64377593994141,9.78875732421875
1138.01,0.348439633846283,0.133227974176407,-1.26189887523651,8.26537704467773,9.64377593994141,9.78875732421875
1169.82,0.348439633846283,0.133227974176407,-1.26189887523651,8.26537704467773,9.64377593994141,9.78875732421875
1202.97,0.347463309764862,0.136592358350754,-1.26206088066101,8.24450874328613,9.64416694641113,9.7639741897583
1236.01,0.347463309764862,0.136592358350754,-1.26206088066101,8.24450874328613,9.64416694641113,9.7639741897583
1269.03,0.347463309764862,0.136592358350754,-1.26206088066101,8.24450874328613,9.64416694641113,9.7639741897583
1302.15,0.347151547670364,0.138719320297241,-1.26318073272705,8.24757957458496,9.63449096679688,9.74136924743652
1335.35,0.347151547670364,0.138719320297241,-1.26318073272705,8.24757957458496,9.63449096679688,9.74136924743652
1368.28,0.347151547670364,0.138719320297241,-1.26318073272705,8.24757957458496,9.63449096679688,9.74136924743652
1401.35,0.347230672836304,0.137618064880371,-1.26357519626617,8.28394508361816,9.61372756958008,9.74228954315186
1434.5,0.347230672836304,0.137618064880371,-1.26357519626617,8.28394508361816,9.61372756958008,9.74228954315186
1467.74,0.347230672836304,0.137618064880371,-1.26357519626617,8.28394508361816,9.61372756958008,9.74228954315186
1500.68,0.34772065281868,0.135239034891129,-1.26309514045715,8.30197906494141,9.60934257507324,9.7780237197876
1533.82,0.34772065281868,0.135239034891129,-1.26309514045715,8.30197906494141,9.60934257507324,9.7780237197876
1566.77,0.34772065281868,0.135239034891129,-1.26309514045715,8.30197906494141,9.60934257507324,9.7780237197876
